Person ID,Exists,Job ID,Candidate_SF_Id,Job_SF_Id,Job_Submission_Exists,Error
559069,Not Exist,182162,,,N/A (candidate not in SF),
559069,Not Exist,179306,,,N/A (candidate not in SF),
559069,Not Exist,179303,,,N/A (candidate not in SF),
559070,Exist,179306,a00OL000002V2jdYAC,a02N300000qJPOAIA4,Not Exist,
559070,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
559072,Not Exist,179306,,,N/A (candidate not in SF),
559075,Exist,179306,a00N300001F2zcwIAB,a02N300000qJPOAIA4,Exist,
559076,Exist,179306,a00N300001F2zF3IAJ,a02N300000qJPOAIA4,Exist,
559077,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
559077,Exist,179306,a00N300001Eu5L7IAJ,a02N300000qJPOAIA4,Exist,
559079,Not Exist,179306,,,N/A (candidate not in SF),
559082,Exist,179306,a00N300001Eu5L8IAJ,a02N300000qJPOAIA4,Not Exist,
559083,Exist,179306,a00N300001F2zcyIAB,a02N300000qJPOAIA4,Exist,
559087,Exist,179306,a00N300001F2zd0IAB,a02N300000qJPOAIA4,Exist,
